route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000136,OCESN2083F4825892:2025-07-08T23:22:50Z,2083,1,171,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000137,OCESN2084F4534607:2025-07-12T23:12:57Z,2084,1,172,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000010,OCESN2084F4701980:2025-07-12T23:12:57Z,2084,1,173,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000083,OCESN2085F4710174:2025-07-04T23:11:59Z,2085,0,174,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000084,OCESN2085F4720628:2025-07-04T23:11:59Z,2085,0,175,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000138,OCESN2086F4625378:2025-07-03T23:12:00Z,2086,1,176,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000083,OCESN2086F4741357:2025-07-03T23:12:00Z,2086,1,177,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000005,OCESN2087F4537196:2025-07-01T23:24:24Z,2087,0,178,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000139,OCESN2087F4537197:2025-06-17T23:52:01Z,2087,0,179,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000140,OCESN2087F4537198:2025-06-27T23:52:54Z,2087,0,180,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000133,OCESN2087F4537200:2025-06-25T00:13:18Z,2087,0,181,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000141,OCESN2087F4537202:2025-06-25T00:13:18Z,2087,0,182,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000142,OCESN2087F4537203:2025-06-17T23:52:01Z,2087,0,183,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000065,OCESN2087F4537205:2025-06-21T00:16:40Z,2087,0,184,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000134,OCESN2087F4647489:2025-07-01T23:24:24Z,2087,0,185,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000143,OCESN2087F4746537:2025-07-01T23:24:24Z,2087,0,186,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000144,OCESN2087F4746538:2025-07-01T23:24:24Z,2087,0,187,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000145,OCESN2087F4853906:2025-07-10T23:16:05Z,2087,0,188,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000146,OCESN2087F4918413:2025-07-16T09:45:24Z,2087,0,189,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000147,OCESN2087F4938080:2025-07-17T23:13:36Z,2087,0,190,
FR:Line::6D267C2D-7D54-4578-9380-B2C7C75C7010:,000148,OCESN2090F4537206:2025-06-25T00:13:18Z,2090,1,191,
FR:Line::6D267C2D-7D54-4578-9380-B2C7C75C7010:,000055,OCESN2090F4537207:2025-06-17T23:52:01Z,2090,1,192,
FR:Line::6D267C2D-7D54-4578-9380-B2C7C75C7010:,000134,OCESN2090F4647488:2025-06-25T00:13:18Z,2090,1,193,
FR:Line::6D267C2D-7D54-4578-9380-B2C7C75C7010:,000039,OCESN2092F4693653:2025-06-27T23:52:54Z,2092,0,194,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000108,OCESN2093F4741348:2025-07-03T23:12:00Z,2093,0,195,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000149,OCESN2096F4537208:2025-06-17T23:52:01Z,2096,1,196,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000150,OCESN2096F4537209:2025-06-17T23:52:01Z,2096,1,197,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000151,OCESN2096F4537210:2025-07-01T23:24:24Z,2096,1,198,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000084,OCESN2096F4537211:2025-07-03T23:12:00Z,2096,1,199,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000134,OCESN2096F4537215:2025-06-17T23:52:01Z,2096,1,200,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000122,OCESN2096F4537217:2025-06-17T23:52:01Z,2096,1,201,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000142,OCESN2096F4537218:2025-06-17T23:52:01Z,2096,1,202,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000133,OCESN2096F4537219:2025-06-17T23:52:01Z,2096,1,203,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000143,OCESN2096F4746534:2025-07-01T23:24:24Z,2096,1,204,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000144,OCESN2096F4746535:2025-07-01T23:24:24Z,2096,1,205,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000152,OCESN2096F4918411:2025-07-16T09:45:24Z,2096,1,206,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000153,OCESN2096F4938078:2025-07-17T23:13:36Z,2096,1,207,
FR:Line::6D267C2D-7D54-4578-9380-B2C7C75C7010:,000154,OCESN2098F4804019:2025-07-12T23:12:57Z,2098,1,208,
FR:Line::6D267C2D-7D54-4578-9380-B2C7C75C7010:,000154,OCESN2099F4537221:2025-06-17T23:52:01Z,2099,0,209,
FR:Line::58c0c9b7-3765-46af-85a3-f193f3030e9b:,000086,OCESN2200F4830164:2025-07-08T23:22:50Z,2200,1,210,
FR:Line::1AF6DA65-F2A9-4241-A625-8B81DC2A8E51:,000155,OCESN2202F4537327:2025-06-17T23:52:01Z,2202,1,211,
FR:Line::1AF6DA65-F2A9-4241-A625-8B81DC2A8E51:,000156,OCESN2202F4641980:2025-06-30T23:30:32Z,2202,1,212,
FR:Line::4FA25873-A63A-4A2D-B62F-EF950E45D8A9:,000023,OCESN2203F4534396:2025-07-17T23:13:36Z,2203,1,213,
FR:Line::4FA25873-A63A-4A2D-B62F-EF950E45D8A9:,000121,OCESN2203F4537331:2025-07-17T23:13:36Z,2203,1,214,
FR:Line::4FA25873-A63A-4A2D-B62F-EF950E45D8A9:,000122,OCESN2203F4590164:2025-07-17T23:13:36Z,2203,1,215,
FR:Line::4FA25873-A63A-4A2D-B62F-EF950E45D8A9:,000157,OCESN2203F4873216:2025-07-17T23:13:36Z,2203,1,216,
FR:Line::4FA25873-A63A-4A2D-B62F-EF950E45D8A9:,000158,OCESN2203F4873270:2025-07-17T23:13:36Z,2203,1,217,
FR:Line::4FA25873-A63A-4A2D-B62F-EF950E45D8A9:,000159,OCESN2203F4938074:2025-07-17T23:13:36Z,2203,1,218,
FR:Line::4FA25873-A63A-4A2D-B62F-EF950E45D8A9:,000160,OCESN2203F4938075:2025-07-17T23:13:36Z,2203,1,219,
FR:Line::4FA25873-A63A-4A2D-B62F-EF950E45D8A9:,000161,OCESN2203F4938076:2025-07-17T23:13:36Z,2203,1,220,
